# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "gene" "-g" "gene_id" "-O" "-s" "2" "-J" "-R" "BAM" "-M" "--fraction" "-G" "data/00ref/Bpertusis_tohamaI.fna" "-T" "16" "-a" "data/00ref/Bpertusis_tohamaI.gtf" "-o" "results/05counts/read_counts" "results/03map_reads/JK-9534_2_10.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_11.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_12.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_13.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_14.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_15.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_16.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_17.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_18.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_19.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_1.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_20.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_21.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_22.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_23.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_24.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_25.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_26.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_27.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_28.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_29.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_2.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_30.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_31.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_32.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_33.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_34.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_35.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_36.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_3.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_4.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_5.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_6.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_7.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_8.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_9.Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results/03map_reads/JK-9534_2_10.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_11.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_12.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_13.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_14.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_15.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_16.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_17.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_18.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_19.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_1.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_20.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_21.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_22.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_23.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_24.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_25.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_26.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_27.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_28.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_29.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_2.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_30.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_31.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_32.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_33.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_34.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_35.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_36.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_3.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_4.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_5.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_6.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_7.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_8.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_9.Aligned.sortedByCoord.out.bam
BP_RS00080	NC_002929.2	9572	10270	+	699	1065.84	1360.93	1983.15	1152.67	726.22	653.07	540.37	440.80	777.90	918.91	950.45	942.00	1076.43	824.19	652.15	546.38	1191.25	967.60	965.84	774.24	789.86	853.64	485.86	1138.53	770.58	767.76	535.72	553.77	439.74	572.53	1572.15	941.68	907.05	1256.14	1454.42	1385.77
BP_RS00085	NC_002929.2	10513	11037	+	525	3454.50	4352.41	6466.92	4857.11	2214.68	2201.38	1686.50	1294.32	1799.72	3718.50	3101.82	3611.70	3015.40	2797.01	2223.92	1373.62	5069.85	3465.35	3043.21	2601.74	2742.70	2731.63	1307.41	3797.97	2697.27	2269.60	1912.49	1713.17	1439.27	2067.62	5242.11	2654.66	3080.96	4388.24	4197.85	4126.22
BP_RS00090	NC_002929.2	11119	11502	+	384	3040.53	3619.46	4679.02	4142.00	1980.12	1853.85	1292.48	787.11	1278.35	3113.95	2491.60	2589.98	2223.21	2060.38	1827.49	995.03	4211.37	3266.54	2792.97	2018.95	2180.41	2052.18	898.21	3231.80	2514.95	2330.82	1333.73	1386.65	1134.00	1588.92	3712.09	1868.57	2456.76	3376.00	4637.36	4242.49
BP_RS00095	NC_002929.2	11662	15774	+	4113	3342.32	3995.19	5839.59	6209.13	3137.22	3005.16	2224.79	1634.56	3081.95	5101.77	3169.72	4808.91	3857.61	3979.78	3000.55	1971.37	6151.42	5409.09	3964.08	3413.08	3782.67	3059.42	1843.09	5178.08	3485.52	3095.57	2997.14	2520.04	2108.91	1950.28	4733.56	2718.97	2795.85	4406.41	4266.90	4237.83
BP_RS00100	NC_002929.2	15774	20018	+	4245	5029.98	5573.85	8321.92	7659.30	4278.88	4145.12	3135.56	2653.69	3988.25	6569.02	4233.14	6355.04	5255.34	5489.61	4557.91	3230.79	9090.45	8157.86	5973.46	4759.61	4989.69	3981.88	2298.55	6920.34	5318.58	5035.90	3874.53	3421.60	3031.42	2474.58	6242.87	3701.50	3893.77	5499.56	6677.02	5264.95
BP_RS00105	NC_002929.2	20127	20531	-	405	44.97	36.67	45.52	32.74	18.91	26.32	34.86	26.14	48.57	18.83	20.61	20.03	30.82	60.78	38.84	19.60	27.87	32.20	23.08	38.25	32.12	14.14	24.67	41.39	15.74	22.83	41.16	35.77	33.38	5.33	42.42	39.97	47.50	24.01	19.26	16.13
BP_RS00110	NC_002929.2	20772	21947	+	1176	243.09	183.87	345.83	253.12	153.10	186.47	183.63	148.09	281.75	170.23	142.34	185.84	196.67	282.20	263.11	178.11	251.93	268.62	227.59	256.94	275.77	142.22	115.54	266.97	198.26	225.26	262.17	227.05	205.62	65.64	220.51	165.88	180.50	174.12	263.32	173.67
BP_RS00115	NC_002929.2	22008	24351	-	2344	115.28	89.32	148.02	127.71	76.24	94.82	93.20	42.03	125.25	124.94	80.30	106.02	83.06	152.47	126.91	69.84	134.19	121.76	121.61	117.00	105.57	69.54	95.02	138.68	114.21	83.91	143.57	124.98	112.84	36.18	127.41	75.52	85.62	92.89	117.67	83.86
BP_RS00120	NC_002929.2	24353	25459	-	1107	104.18	80.74	151.37	108.71	71.17	69.09	104.56	57.37	107.99	93.09	52.70	76.63	63.83	163.26	150.92	89.05	117.83	110.39	106.02	113.88	125.49	69.31	64.71	119.16	82.94	83.37	120.86	108.78	95.40	9.95	83.70	85.59	82.06	63.20	102.28	73.24
BP_RS00125	NC_002929.2	25477	26213	-	737	69.77	58.89	112.23	108.89	73.61	67.56	56.72	44.93	102.02	89.00	58.99	81.76	63.99	131.83	73.40	59.16	108.70	132.19	95.93	93.71	97.69	109.77	53.19	94.77	97.80	57.54	83.87	92.24	86.30	29.10	66.24	51.97	59.15	66.31	93.45	64.25
BP_RS00130	NC_002929.2	26471	27286	+	816	20.10	31.42	46.78	30.02	30.55	28.11	41.42	15.14	34.09	28.16	14.99	21.10	35.09	45.75	19.07	23.77	45.13	40.03	34.36	33.27	25.82	21.46	14.61	32.56	28.88	33.47	32.52	28.37	31.06	6.02	32.76	27.20	23.63	23.54	44.35	28.76
BP_RS00135	NC_002929.2	27283	28233	-	951	11.88	6.42	10.63	16.85	7.30	10.73	7.92	2.14	11.00	7.75	4.44	8.82	7.18	12.20	12.83	2.83	10.30	11.51	7.56	14.81	6.95	5.47	7.39	9.74	6.24	4.30	9.63	6.58	6.90	1.24	5.18	4.83	5.72	12.37	7.80	9.83
BP_RS00140	NC_002929.2	28333	28650	-	318	3.15	4.10	6.51	6.50	1.02	3.89	4.89	4.20	5.24	8.57	4.77	7.49	7.68	7.22	7.59	1.86	4.46	4.25	8.63	4.96	4.66	11.64	3.24	12.92	7.60	1.77	4.25	5.72	7.14	0.20	6.86	6.99	10.10	3.35	6.46	3.14
BP_RS00145	NC_002929.2	28675	29109	-	435	11.14	7.26	19.20	6.85	10.08	9.94	6.83	7.10	11.89	6.45	7.57	8.12	9.45	16.44	8.31	9.34	19.70	9.97	11.44	10.00	8.33	7.70	6.01	14.28	12.59	6.49	11.61	6.19	8.24	1.20	10.32	6.40	12.12	9.95	16.53	4.28
BP_RS00150	NC_002929.2	29142	30359	-	1218	26.30	9.25	35.88	30.81	24.55	31.06	32.31	6.15	32.10	14.80	15.74	16.93	27.98	33.29	28.90	18.23	24.63	40.76	21.23	22.03	19.31	13.52	20.23	19.70	25.84	14.00	29.13	17.96	25.33	5.53	28.50	17.13	18.49	19.15	19.83	18.48
BP_RS00155	NC_002929.2	30365	30862	-	498	16.40	13.60	24.24	18.51	21.54	22.13	24.29	3.80	22.39	15.41	11.81	22.00	26.62	33.24	17.25	8.17	16.52	18.18	14.94	12.86	13.34	122.91	12.07	22.45	22.44	11.44	17.31	13.62	15.44	4.95	16.73	16.33	11.57	13.37	37.58	18.49
BP_RS00160	NC_002929.2	31070	32005	-	936	48.66	44.29	69.39	65.66	37.75	49.56	54.67	31.08	74.92	37.66	38.93	51.18	44.29	71.65	80.12	42.39	92.36	66.99	47.49	56.50	63.96	25.39	31.22	67.11	69.18	47.06	86.75	76.49	58.26	13.33	59.74	48.16	45.52	39.93	63.56	58.34
BP_RS00165	NC_002929.2	32215	33006	+	792	13.02	8.46	31.09	18.45	22.33	23.55	19.33	4.83	20.04	15.62	8.54	22.16	8.26	21.04	20.85	8.06	28.24	32.95	21.34	12.56	25.53	15.06	13.02	20.35	17.26	10.69	15.28	22.05	17.73	6.17	16.51	14.08	13.54	9.60	12.52	10.75
BP_RS00170	NC_002929.2	33049	34470	+	1422	28.38	21.19	39.43	23.84	36.53	30.04	30.73	8.96	22.56	20.14	15.35	21.14	20.62	38.61	25.90	12.69	26.90	22.69	24.29	34.48	19.53	18.47	9.88	16.87	17.85	9.88	28.60	12.78	26.83	8.17	20.68	19.25	26.23	19.92	23.90	16.12
BP_RS00175	NC_002929.2	34626	35576	+	951	14.24	12.47	20.69	25.51	10.60	14.20	15.02	1.50	28.72	19.85	8.39	19.86	26.99	24.52	26.13	2.31	29.06	23.25	18.17	21.05	27.26	9.84	10.16	22.64	17.52	14.55	27.73	12.83	18.14	3.11	9.62	8.48	10.48	8.90	17.18	13.98
BP_RS00180	NC_002929.2	35573	36763	-	1191	227.99	165.96	288.50	287.68	198.05	202.80	210.95	123.96	390.90	251.99	116.69	252.97	204.30	424.20	440.96	187.22	306.49	311.26	281.73	317.49	396.55	124.66	185.75	343.98	224.03	240.68	404.90	292.64	242.49	60.75	177.26	163.45	188.57	157.98	231.57	167.93
BP_RS00185	NC_002929.2	37013	37924	+	912	512.93	589.43	833.03	918.34	523.76	477.93	414.49	353.22	522.86	725.49	380.31	678.47	531.30	739.25	568.49	461.65	774.35	669.49	530.14	566.57	610.49	366.27	312.12	768.03	421.29	376.44	487.66	512.69	431.37	272.98	668.85	428.38	430.79	566.14	476.52	552.41
BP_RS00190	NC_002929.2	37926	40064	+	2139	1598.59	1531.52	2403.92	2895.62	1809.13	1707.36	1355.18	867.38	1762.09	2827.04	1248.48	2537.84	1959.99	2521.30	1976.18	1186.22	3340.53	3052.08	2306.20	2132.92	2317.45	1237.54	1053.74	3062.92	2021.38	1674.70	1895.07	1581.32	1456.75	598.98	1708.45	1219.67	1277.71	1767.31	2278.29	1679.99
BP_RS00195	NC_002929.2	40061	40600	+	540	205.14	200.21	319.67	356.02	201.48	256.45	171.42	126.22	197.47	322.62	152.96	324.34	266.36	337.25	246.19	184.37	433.54	433.63	312.23	248.19	261.67	164.33	145.66	336.14	229.01	179.31	217.57	189.26	150.54	108.67	239.77	173.62	161.06	225.48	334.88	246.93
BP_RS00200	NC_002929.2	40604	41332	+	729	206.30	219.35	281.30	313.17	195.91	228.21	150.62	100.42	222.03	308.47	201.01	280.65	218.07	327.60	200.09	144.74	369.28	339.14	255.24	263.78	225.53	179.37	141.85	312.34	185.96	178.68	200.75	212.46	167.56	102.77	274.56	138.78	189.39	268.73	263.62	240.64
BP_RS00205	NC_002929.2	41319	42212	+	894	391.99	371.65	645.75	699.05	385.17	384.16	363.52	263.43	472.23	675.97	294.28	550.16	571.26	585.52	606.28	430.05	710.26	725.84	586.12	499.60	612.00	311.63	303.59	713.40	481.92	477.69	492.22	386.20	364.48	164.31	447.51	347.34	340.09	411.91	632.53	378.96
BP_RS00210	NC_002929.2	42283	42678	+	396	116.56	128.34	179.93	113.65	75.54	81.92	64.57	48.73	105.47	83.82	72.48	78.15	90.25	115.87	98.88	77	108.00	108.47	101.79	78.36	94.08	80.12	54.29	105.93	104.67	63.37	95.22	76.02	73.48	59.87	168.87	80.45	106.85	110.93	121.42	121.26
BP_RS00215	NC_002929.2	42688	43218	+	531	465.89	409.40	702.22	528.01	353.65	351.95	353.28	267.50	576.09	546.98	249.45	507.46	456.16	747.28	587.23	411.73	647.40	656.30	494.09	507.05	499.65	274.09	302.33	543.87	441.52	440.32	553.25	539.37	388.89	110.00	463.21	369.96	357.78	332.92	510.38	368.76
BP_RS00220	NC_002929.2	43347	43646	-	300	46.21	21.49	42.88	45.07	38.25	41.67	44.71	38.79	81.54	50.72	19.73	40.40	47.95	104.56	76.75	62.67	91.29	132.14	78.71	77.99	64.43	34.72	48.00	52.95	87.61	92.42	88.16	72.20	62.22	8.15	27.59	54.45	36.36	21.54	86.06	35.73
BP_RS00225	NC_002929.2	43664	44614	+	951	13.40	11.14	14.82	20.12	9.27	11.01	14.57	1.00	26.74	19.95	7.83	17.07	25.70	19.33	25.05	2.38	25.99	21.38	19.55	16.86	23.08	9.34	10.33	21.43	15.13	14.55	25.46	13.43	16.14	2.11	6.41	8.45	10.48	8.90	15.42	11.98
BP_RS00230	NC_002929.2	44611	45088	-	478	48.71	32.14	62.38	44.36	32.63	40.59	60.33	32	76.38	34.29	25.70	31.16	41.76	79.93	79.58	48.15	61.60	71.70	52.16	47.19	74.42	26.28	39.64	84.13	38.60	56.80	101.22	68.13	68.55	6	35.06	34.60	41.55	19.89	71.34	26.50
BP_RS00235	NC_002929.2	45201	45749	+	549	164.09	134.81	195.77	195.45	117.27	136.54	129.34	74.20	174.52	204.03	75.60	165.27	163.41	237.09	181.74	153.87	242.94	237.21	180.95	158.68	211.09	97.90	96.03	239.81	173.44	140.89	182.54	137.45	124.41	30.83	141.84	127.40	112.81	120.93	195.83	110.80
